Year;League              ;Match Day;Status    ;Event DateTime      ;Home Team                     ;Away Team                     ;Winner   ;Result
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-09T19:00:00Z;Liverpool FC                  ;Norwich City FC               ;HOME_TEAM;4 : 1
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T11:30:00Z;West Ham United FC            ;Manchester City FC            ;AWAY_TEAM;0 : 5
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T14:00:00Z;Burnley FC                    ;Southampton FC                ;HOME_TEAM;3 : 0
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T14:00:00Z;Crystal Palace FC             ;Everton FC                    ;DRAW     ;0 : 0
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T14:00:00Z;Watford FC                    ;Brighton & Hove Albion FC     ;AWAY_TEAM;0 : 3
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T14:00:00Z;AFC Bournemouth               ;Sheffield United FC           ;DRAW     ;1 : 1
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-10T16:30:00Z;Tottenham Hotspur FC          ;Aston Villa FC                ;HOME_TEAM;3 : 1
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-11T13:00:00Z;Leicester City FC             ;Wolverhampton Wanderers FC    ;DRAW     ;0 : 0
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-11T13:00:00Z;Newcastle United FC           ;Arsenal FC                    ;AWAY_TEAM;0 : 1
2019;Premiere League     ; 1       ;FINISHED  ;2019-08-11T15:30:00Z;Manchester United FC          ;Chelsea FC                    ;HOME_TEAM;4 : 0
2019;Premiere League     ; 2       ;FINISHED  ;2019-08-17T11:30:00Z;Arsenal FC                    ;Burnley FC                    ;HOME_TEAM;2 : 1
2019;Premiere League     ; 2       ;FINISHED  ;2019-08-17T14:00:00Z;Aston Villa FC                ;AFC Bournemouth               ;AWAY_TEAM;1 : 2
2019;Premiere League     ; 2       ;FINISHED  ;2019-08-17T14:00:00Z;Everton FC                    ;Watford FC                    ;HOME_TEAM;1 : 0
