Year;League              ;Position;Team                          ;Games;Wins;Draws;Defeats;Goals Scored;Conceded Goals;Goals Difference
2019;Premiere League     ; 1      ;Liverpool FC                  ;38   ;32  ; 3   ; 3     ; 85         ; 33           ;  52
2019;Premiere League     ; 2      ;Manchester City FC            ;38   ;26  ; 3   ; 9     ;102         ; 35           ;  67
2019;Premiere League     ; 3      ;Manchester United FC          ;38   ;18  ;12   ; 8     ; 66         ; 36           ;  30
2019;Premiere League     ; 4      ;Chelsea FC                    ;38   ;20  ; 6   ;12     ; 69         ; 54           ;  15
2019;Premiere League     ; 5      ;Leicester City FC             ;38   ;18  ; 8   ;12     ; 67         ; 41           ;  26
2019;Premiere League     ; 6      ;Tottenham Hotspur FC          ;38   ;16  ;11   ;11     ; 61         ; 47           ;  14
2019;Premiere League     ; 7      ;Wolverhampton Wanderers FC    ;38   ;15  ;14   ; 9     ; 51         ; 40           ;  11
2019;Premiere League     ; 8      ;Arsenal FC                    ;38   ;14  ;14   ;10     ; 56         ; 48           ;   8
2019;Premiere League     ; 9      ;Sheffield United FC           ;38   ;14  ;12   ;12     ; 39         ; 39           ;   0
2019;Premiere League     ;10      ;Burnley FC                    ;38   ;15  ; 9   ;14     ; 43         ; 50           ;  -7
2019;Premiere League     ;11      ;Southampton FC                ;38   ;15  ; 7   ;16     ; 51         ; 60           ;  -9
2019;Premiere League     ;12      ;Everton FC                    ;38   ;13  ;10   ;15     ; 44         ; 56           ; -12
2019;Premiere League     ;13      ;Newcastle United FC           ;38   ;11  ;11   ;16     ; 38         ; 58           ; -20
2019;Premiere League     ;14      ;Crystal Palace FC             ;38   ;11  ;10   ;17     ; 31         ; 50           ; -19
2019;Premiere League     ;15      ;Brighton & Hove Albion FC     ;38   ; 9  ;14   ;15     ; 39         ; 54           ; -15
2019;Premiere League     ;16      ;West Ham United FC            ;38   ;10  ; 9   ;19     ; 49         ; 62           ; -13
2019;Premiere League     ;17      ;Aston Villa FC                ;38   ; 9  ; 8   ;21     ; 41         ; 67           ; -26
2019;Premiere League     ;18      ;AFC Bournemouth               ;38   ; 9  ; 7   ;22     ; 40         ; 65           ; -25
2019;Premiere League     ;19      ;Watford FC                    ;38   ; 8  ;10   ;20     ; 36         ; 64           ; -28
2019;Premiere League     ;20      ;Norwich City FC               ;38   ; 5  ; 6   ;27     ; 26         ; 75           ; -49
2019;Ligue 1             ; 1      ;Paris Saint-Germain FC        ;27   ;22  ; 2   ; 3     ; 75         ; 24           ;  51
2019;Ligue 1             ; 2      ;Olympique de Marseille        ;28   ;16  ; 8   ; 4     ; 41         ; 29           ;  12
2019;Ligue 1             ; 3      ;Stade Rennais FC 1901         ;28   ;15  ; 5   ; 8     ; 38         ; 24           ;  14
2019;Ligue 1             ; 4      ;Lille OSC                     ;28   ;15  ; 4   ; 9     ; 35         ; 27           ;   8
2019;Ligue 1             ; 5      ;Stade de Reims                ;28   ;10  ;11   ; 7     ; 26         ; 21           ;   5
2019;Ligue 1             ; 6      ;OGC Nice                      ;28   ;11  ; 8   ; 9     ; 41         ; 38           ;   3
2019;Ligue 1             ; 7      ;Olympique Lyonnais            ;28   ;11  ; 7   ;10     ; 42         ; 27           ;  15
2019;Ligue 1             ; 8      ;Montpellier HSC               ;28   ;11  ; 7   ;10     ; 35         ; 34           ;   1
2019;Ligue 1             ; 9      ;AS Monaco FC                  ;28   ;11  ; 7   ;10     ; 44         ; 44           ;   0
2019;Ligue 1             ;10      ;Angers SCO                    ;28   ;11  ; 6   ;11     ; 28         ; 33           ;  -5
2019;Ligue 1             ;11      ;RC Strasbourg Alsace          ;27   ;11  ; 5   ;11     ; 32         ; 32           ;   0
2019;Ligue 1             ;12      ;FC Girondins de Bordeaux      ;28   ; 9  ;10   ; 9     ; 40         ; 34           ;   6
2019;Ligue 1             ;13      ;FC Nantes                     ;28   ;11  ; 4   ;13     ; 28         ; 31           ;  -3
2019;Ligue 1             ;14      ;Stade Brestois 29             ;28   ; 8  ;10   ;10     ; 34         ; 37           ;  -3
2019;Ligue 1             ;15      ;FC Metz                       ;28   ; 8  ;10   ;10     ; 27         ; 35           ;  -8
2019;Ligue 1             ;16      ;Dijon Football Côte d'Or      ;28   ; 7  ; 9   ;12     ; 27         ; 37           ; -10
2019;Ligue 1             ;17      ;AS Saint-Étienne              ;28   ; 8  ; 6   ;14     ; 29         ; 45           ; -16
2019;Ligue 1             ;18      ;Nîmes Olympique               ;28   ; 7  ; 6   ;15     ; 29         ; 44           ; -15
2019;Ligue 1             ;19      ;Amiens SC                     ;28   ; 4  ;11   ;13     ; 31         ; 50           ; -19
2019;Ligue 1             ;20      ;Toulouse FC                   ;28   ; 3  ; 4   ;21     ; 22         ; 58           ; -36
2019;1. Bundesliga       ; 1      ;FC Bayern München             ;34   ;26  ; 4   ; 4     ;100         ; 32           ;  68
2019;1. Bundesliga       ; 2      ;BV Borussia 09 Dortmund       ;34   ;21  ; 6   ; 7     ; 84         ; 41           ;  43
2019;1. Bundesliga       ; 3      ;RB Leipzig                    ;34   ;18  ;12   ; 4     ; 81         ; 37           ;  44
2019;1. Bundesliga       ; 4      ;Borussia Mönchengladbach      ;34   ;20  ; 5   ; 9     ; 66         ; 40           ;  26
